20220504;20220504;CZK;ITE2211773;;4645;;255400-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211773;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022088032;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211778;;4645;;766200-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211778;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022078845;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211778;799705;;;127700;JM;0,00;5451210100;;;;;;;;;;;;2022081430;;;127700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211778;799705;;;127700;JM;0,00;5451210100;;;;;;;;;;;;2022081492;;;127700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211778;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022084355;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211779;;4645;;255400-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211779;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022083352;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211760;;4645;;270900-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211760;799705;;;270900-;JM;0,00;5451210100;;;;;;;;;;;;2022086236;;;270900-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211761;;4645;;255400-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211761;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022084718;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211762;;4645;;255400-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211762;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022080270;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211763;;4645;;270900-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211763;799705;;;270900-;JM;0,00;5451210100;;;;;;;;;;;;2022088736;;;270900-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211774;;4645;;147700-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211774;799705;;;147700-;JM;0,00;5451210100;;;;;;;;;;;;2022087524;;;147700-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211775;;4645;;383100-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211775;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022081628;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211775;799705;;;127700;JM;0,00;5451210100;;;;;;;;;;;;2022084617;;;127700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211776;;4645;;127700-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211776;799705;;;127700-;JM;0,00;5451210100;;;;;;;;;;;;2022083728;;;127700-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211777;;4645;;127700-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;IZE2211777;799705;;;127700-;JM;0,00;5451210100;;;;;;;;;;;;2022081541;;;127700-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
