20220905;20220905;CZK;ITE2215349;;4645;;766200-;JM;0,00;;;;;;;;;;C020;;;;BE06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215349;799705;;;255400;JM;0,00;5453001790;;;;;;;;;;;;2022099390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215349;799705;;;255400;JM;0,00;5453001790;;;;;;;;;;;;2022103382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215349;799705;;;255400;JM;0,00;5453001790;;;;;;;;;;;;2022107669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;;4645;;1532400-;JM;0,00;;;;;;;;;;C020;;;;BE06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022098980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022102204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022106420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022106512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022108893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215353;799705;;;255400;JM;0,00;5453000190;;;;;;;;;;;;2022112687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;;4645;;1149300-;JM;0,00;;;;;;;;;;C020;;;;BE06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;127700;JM;0,00;5453000290;;;;;;;;;;;;2022098807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;127700;JM;0,00;5453000290;;;;;;;;;;;;2022103803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;127700;JM;0,00;5453000290;;;;;;;;;;;;2022104692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;255400;JM;0,00;5453000290;;;;;;;;;;;;2022107718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;255400;JM;0,00;5453000290;;;;;;;;;;;;2022110060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220905;20220905;CZK;ITE2215354;799705;;;255400;JM;0,00;5453000290;;;;;;;;;;;;2022110160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220531;20220531;CZK;IZE22030426;;4645;;1531087-;;0,00;;;;;;;;;;C020;;;;BE06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
